"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Quest on the Terrace","<http://www.touristlink.com/new-zealand/quest-on-the-terrace/overview.html>","<http://www.touristlink.com/new-zealand/quest-on-the-terrace/overview.html>","www.touristlink.com","touristlink.com_936","6143","120 The Terrace","New Zealand","Wellington","","terrace quest"
"El Mouradi Skanes","<http://www.touristlink.com/tunisia/monastir/cat/hotels.html>","<http://www.touristlink.com/tunisia/mosque-of-uqba/cat/hotels.html>","www.touristlink.com","touristlink.com_937","5000","Zone Turistique Dkhila","Tunisia","Monastir","","skanes mouradi el"
"Hotel Schwanstein","<http://www.touristlink.com/germany/garmisch-partenkirchen/cat/hotels.html>","<http://www.touristlink.com/germany/neuschwanstein-castle/cat/hotels.html>","www.touristlink.com","touristlink.com_938","87645","Kroeb 2","Germany","Schwangau","hotel","schwanstein"
"Europark Hotel International","<http://www.touristlink.com/germany/fussen/cat/hotels.html>","<http://www.touristlink.com/germany/neuschwanstein-castle/cat/hotels.html>","www.touristlink.com","touristlink.com_939","87629","Am Kapellenberg 2","Germany","Fussen","hotel international","europark"
"Holiday Inn Express Torreon","<http://www.touristlink.com/mexico/torreon/cat/hotels.html>","<http://www.touristlink.com/mexico/estadio-revolucion/cat/hotels.html>","www.touristlink.com","touristlink.com_94","27000","Boulevard Independencia 1133 Ote","Mexico","Torreon","inn express holiday","torreon"
"Hotel Falcon Crest","<http://www.touristlink.com/india/solan/cat/hotels.html>","<http://www.touristlink.com/india/government-museum-and-art-gallery/cat/hotels.html>","www.touristlink.com","touristlink.com_940","173 215","Kalka-Shimla Highway, Kandaghat","India","Solan","hotel","falcon crest"
"Tarika's Jungal Retreat","<http://www.touristlink.com/india/chail/cat/hotels.html>","<http://www.touristlink.com/india/government-museum-and-art-gallery/cat/hotels.html>","www.touristlink.com","touristlink.com_941","173217","Chail Blossom Po Chail Teh Kandaghat Dist Soland","India","Chail","","tarika retreat jungal"
"Castellar","<http://www.touristlink.com/spain/castellar/overview.html>","<http://www.touristlink.com/spain/castellar/overview.html>","www.touristlink.com","touristlink.com_942","11350","Carretera Castellar","Spain","Almoraima","","castellar"
"Gray Wolf Inn and Suites","<http://www.touristlink.com/united-states/gray-wolf-inn-and-suites/overview.html>","<http://www.touristlink.com/united-states/gray-wolf-inn-and-suites/overview.html>","www.touristlink.com","touristlink.com_943","59758","250 S Canyon St","United States","West Yellowstone","suites inn","wolf gray"
"Hotel Panchvati Yatri","<http://www.touristlink.com/india/hotel-panchvati-yatri/overview.html>","<http://www.touristlink.com/india/hotel-panchvati-yatri/overview.html>","www.touristlink.com","touristlink.com_944","422001","430, Vakil Wadi Chandakwadi, M G Road","India","Nashik","hotel","yatri panchvati"
"Hogbo Bruks Hotel","<http://www.touristlink.com/sweden/sandviken/cat/hotels.html>","<http://www.touristlink.com/sweden/sandviken/cat/hotels.html>","www.touristlink.com","touristlink.com_945","81122","Hans Hiertas Vag 20","Sweden","Sandviken","hotel","bruks hogbo"
"The West Ham United Hotel","<http://www.touristlink.com/england/london-borough-of-tower-hamlets/cat/hotels.html>","<http://www.touristlink.com/england/national-gallery/cat/hotels.html>","www.touristlink.com","touristlink.com_946","E13 9AZ","Boleyn Ground Green Street","England","London","hotel west","ham united"
"The Langorf Hotel","<http://www.touristlink.com/england/london-borough-of-camden/cat/hotels.html>","<http://www.touristlink.com/england/national-gallery/cat/hotels.html>","www.touristlink.com","touristlink.com_947","NW3 6AG","20 Frognal","England","London","hotel","langorf"
"Acropolis Hotel","<http://www.touristlink.com/england/hammersmith-and-fulham/cat/hotels.html>","<http://www.touristlink.com/england/national-gallery/cat/hotels.html>","www.touristlink.com","touristlink.com_948","W6 7PD","114 Shepherds Bush Road, London","England","London","hotel","acropolis"
"Gottwald Hotel","<http://www.touristlink.com/hungary/tata/cat/hotels.html>","<http://www.touristlink.com/hungary/hungarian-house-of-parliament/cat/hotels.html>","www.touristlink.com","touristlink.com_949","3044","Fekete ut 1","Hungary","Tata","hotel","gottwald"
