"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Hotel Windsor","<https://www.booking.com/hotel/dk/hotel-windsor.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/odense/gayguide/dansk-melodi-grand-prix.html>","www.nighttours.com","www.nighttours.com_1744","DK-5000","Vindegade 45","dk","Odense","hotel","windsor"
"First Hotel Grand","<https://www.booking.com/hotel/dk/first-grand.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/odense/gayguide/dansk-melodi-grand-prix.html>","www.nighttours.com","www.nighttours.com_1745","5000","Jernbanegade 18","dk","Odense","hotel grand","first"
"Steps-Hotel","<https://www.booking.com/hotel/de/steps.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-cralle.html>","www.nighttours.com","www.nighttours.com_1746","","Liebenwalder Stra\u00DFe 22","de","","hotel","steps"
"Pension Wedding","<https://www.booking.com/hotel/de/pension-wedding-berlin.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-cralle.html>","www.nighttours.com","www.nighttours.com_1747","","Schulstr. 40","de","","pension","wedding"
"Apartment in Wedding","<https://www.booking.com/hotel/de/apartments-in-wedding.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-cralle.html>","www.nighttours.com","www.nighttours.com_1748","","Genter Str. 62","de","","apartment","wedding"
"Hotel Arena Inn - Berlin Mitte","<https://www.booking.com/hotel/de/arena-inn-13353.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/berlin/gayguide/cafe-cralle.html>","www.nighttours.com","www.nighttours.com_1749","","M\u00FCllerstra\u00DFe 163","de","","hotel inn","berlin mitte arena"
"Casa Heinrich Guesthouse","<https://www.booking.com/hotel/ch/casa-heinrich-guesthouse.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/zurich/gayguide/heldenbar.html>","www.nighttours.com","www.nighttours.com_175","","Heinrichstrasse 68","ch","","","heinrich casa guesthouse"
"Marco Polo Top Hostel","<https://www.booking.com/hotel/hu/marcopolohostel.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/budapest/gayguide/coxx.html>","www.nighttours.com","www.nighttours.com_1750","","Ny\u00E1r u. 6","hu","","","hostel marco polo top"
"Ny\u00E1r Apartment","<https://www.booking.com/hotel/hu/nyar-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/budapest/gayguide/coxx.html>","www.nighttours.com","www.nighttours.com_1751","","7 Ny\u00E1r utca","hu","","apartment","ny"
"Rakoczi Studios","<https://www.booking.com/hotel/hu/rakoczi-studios.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/budapest/gayguide/coxx.html>","www.nighttours.com","www.nighttours.com_1752","","32 R\u00E1k\u00F3czi \u00FAt II.em.5","hu","","","rakoczi studios"
"4 bedroom 3 Bath Sunny Central Flat","<https://www.booking.com/hotel/hu/4-bedroom-3-bath-sunny-central-flat.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/budapest/gayguide/coxx.html>","www.nighttours.com","www.nighttours.com_1753","","27b R\u00E1k\u00F3czi \u00FAt","hu","","","bedroom flat sunny central bath"
"Orange Suite Studio","<https://www.booking.com/hotel/nl/orange-suite-studio.html?aid=303905&label=detailsuggestion>","<https://www.nighttours.com/amsterdam/gayguide/cuckoo-s-nest.html>","www.nighttours.com","www.nighttours.com_1754","","Sint Jacobsdwarsstraat 4","nl","","","studio suite orange"
"Avenue Hotel","<https://www.booking.com/hotel/nl/avenue.html?aid=303905&label=detailsuggestion>","<https://www.nighttours.com/amsterdam/gayguide/cuckoo-s-nest.html>","www.nighttours.com","www.nighttours.com_1755","","Nieuwezijds Voorburgwal 33","nl","","hotel","avenue"
"Holiday Inn Toronto Downtown Centre","<https://www.booking.com/hotel/ca/days-inn-toronto-downtown.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/toronto/gayguide/black-eagle.html>","www.nighttours.com","www.nighttours.com_1756","","30 Carlton Street","ca","","inn downtown centre holiday","toronto"
"Comfy Apartment","<https://www.booking.com/hotel/ca/comfy-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/toronto/gayguide/black-eagle.html>","www.nighttours.com","www.nighttours.com_1757","","33 Wood Street 808","ca","","apartment","comfy"
